
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/ece56a89-9ff8-43e2-99fe-0d8b75096e72?bufferSize=1000&amp;useArrayFormat=true
13:58:49.355 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:49.380 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[22DD02]
13:58:49.384 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:49.465 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[62DD0238]
13:58:49.495 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:49.510 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[224028]
13:58:49.517 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:49.593 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[624028038B]
13:58:49.625 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:49.653 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
